2026-08-30 01:53:48,272 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,277 | INFO     | src.silver.cleaner | Nettoyage terminé : 5 lignes, 17 colonnes.
2026-08-30 01:53:48,281 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,285 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,288 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,288 | INFO     | src.silver.validator | Validation de 1 lignes...
2026-08-30 01:53:48,295 | INFO     | src.silver.validator | Validation terminée : 1 valides, 0 rejetées.
2026-08-30 01:53:48,299 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,302 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,307 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,307 | INFO     | src.silver.validator | Validation de 1 lignes...
2026-08-30 01:53:48,311 | INFO     | src.silver.validator | Validation terminée : 0 valides, 1 rejetées.
2026-08-30 01:53:48,311 | WARNING  | src.silver.validator | Ligne id=nan rejetée : id manquant
2026-08-30 01:53:48,315 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,315 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,315 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,315 | INFO     | src.silver.validator | Validation de 1 lignes...
2026-08-30 01:53:48,327 | INFO     | src.silver.validator | Validation terminée : 0 valides, 1 rejetées.
2026-08-30 01:53:48,328 | WARNING  | src.silver.validator | Ligne id=1 rejetée : date invalide ou manquante
2026-08-30 01:53:48,331 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,335 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,337 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,337 | INFO     | src.silver.validator | Validation de 1 lignes...
2026-08-30 01:53:48,342 | INFO     | src.silver.validator | Validation terminée : 0 valides, 1 rejetées.
2026-08-30 01:53:48,344 | WARNING  | src.silver.validator | Ligne id=1 rejetée : plateforme manquante
2026-08-30 01:53:48,347 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,351 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,354 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,356 | INFO     | src.silver.validator | Validation de 1 lignes...
2026-08-30 01:53:48,358 | INFO     | src.silver.validator | Validation terminée : 0 valides, 1 rejetées.
2026-08-30 01:53:48,360 | WARNING  | src.silver.validator | Ligne id=1 rejetée : type de cyberviolence manquant
2026-08-30 01:53:48,363 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,364 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=1, age=0
2026-08-30 01:53:48,370 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,370 | INFO     | src.silver.validator | Validation de 1 lignes...
2026-08-30 01:53:48,374 | INFO     | src.silver.validator | Validation terminée : 1 valides, 0 rejetées.
2026-08-30 01:53:48,374 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,381 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,381 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,386 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,390 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,390 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,390 | INFO     | src.silver.validator | Validation de 2 lignes...
2026-08-30 01:53:48,396 | INFO     | src.silver.validator | Validation terminée : 1 valides, 1 rejetées.
2026-08-30 01:53:48,396 | WARNING  | src.silver.validator | Ligne id=2 rejetée : plateforme manquante
